INSERT INTO DimSupplier (SupplierKey, SupplierID, CompanyName, ContactName, ContactTitle, Address, City, Region, PostalCode, Country, Phone, Fax, HomePage)
VALUES
(1, 10000, 'Nile Suppliers', 'Ali Hassan', 'Manager', '123 Nile St', 'Cairo', 'North', '12345', 'Egypt', '+20-123-456-7890', '+20-123-456-7891', 'http://www.nilesuppliers.com'),
(2, 10001, 'Pyramid Trading Co.', 'Ahmed Mohamed', 'Sales Representative', '456 Pyramid St', 'Giza', 'South', '54321', 'Egypt', '+20-987-654-3210', '+20-987-654-3211', 'http://www.pyramidtrading.com'),
(3, 10002, 'Sphinx Enterprises', 'Fatima Ali', 'Director', '789 Sphinx St', 'Luxor', 'East', '98765', 'Egypt', '+20-567-890-1234', '+20-567-890-1235', 'http://www.sphinxent.com'),
(4, 10003, 'Oasis Suppliers', 'Hassan Ibrahim', 'Sales Manager', '101 Oasis St', 'Aswan', 'West', '13579', 'Egypt', '+20-246-802-4680', '+20-246-802-4681', 'http://www.oasissuppliers.com'),
(5, 10004, 'Delta Trading Co.', 'Noura Samir', 'CEO', '246 Delta St', 'Alexandria', 'North', '24680', 'Egypt', '+20-135-792-4680', '+20-135-792-4681', 'http://www.deltatradingco.com'),
(6, 10005, 'Red Sea Manufacturers', 'Amr Abdel', 'Manager', '369 Red Sea St', 'Hurghada', 'South', '36912', 'Egypt', '+20-369-258-1470', '+20-369-258-1471', 'http://www.redseamanufacturers.com'),
(7, 10006, 'Upper Egypt Suppliers', 'Sara Ali', 'Sales Representative', '582 Upper St', 'Qena', 'East', '58234', 'Egypt', '+20-582-346-9870', '+20-582-346-9871', 'http://www.upper-egyptsuppliers.com'),
(8, 10007, 'Memphis Trading', 'Salwa Ahmed', 'Director', '741 Memphis St', 'Minya', 'West', '74185', 'Egypt', '+20-741-852-9630', '+20-741-852-9631', 'http://www.memphistrading.com'),
(9, 10008, 'Giza Enterprises', 'Hesham Mahmoud', 'Sales Manager', '963 Giza St', 'Beni Suef', 'North', '96321', 'Egypt', '+20-963-214-5780', '+20-963-214-5781', 'http://www.gizaenterprises.com'),
(10, 10009, 'Luxor Suppliers', 'Fatima Hassan', 'CEO', '852 Luxor St', 'Sohag', 'South', '85296', 'Egypt', '+20-852-963-7410', '+20-852-963-7411', 'http://www.luxorsuppliers.com'),
(11, 10010, 'Aswan Trading Co.', 'Mohamed Ali', 'Manager', '159 Aswan St', 'Fayoum', 'East', '15987', 'Egypt', '+20-159-874-6320', '+20-159-874-6321', 'http://www.aswantrading.com'),
(12, 10011, 'Nile Enterprises', 'Sara Hassan', 'Sales Representative', '357 Nile St', 'Suez', 'West', '35741', 'Egypt', '+20-357-419-8620', '+20-357-419-8621', 'http://www.nileenterprises.com'),
(13, 10012, 'Pyramid Manufacturers', 'Ahmed Mahmoud', 'Director', '258 Pyramid St', 'Port Said', 'North', '25896', 'Egypt', '+20-258-963-7410', '+20-258-963-7411', 'http://www.pyramidmanufacturers.com'),
(14, 10013, 'Sphinx Trading Co.', 'Nadia Ali', 'Sales Manager', '753 Sphinx St', 'Ismailia', 'South', '75314', 'Egypt', '+20-753-146-8920', '+20-753-146-8921', 'http://www.sphinxtradingco.com'),
(15, 10014, 'Oasis Enterprises', 'Hassan Samir', 'CEO', '369 Oasis St', 'Damanhur', 'East', '36985', 'Egypt', '+20-369-852-1470', '+20-369-852-1471', 'http://www.oasisenterprises.com'),
(16, 10015, 'Delta Suppliers', 'Fatima Ahmed', 'Manager', '147 Delta St', 'Damietta', 'West', '14732', 'Egypt', '+20-147-326-5980', '+20-147-326-5981', 'http://www.deltasuppliers.com'),
(17, 10016, 'Red Sea Trading Co.', 'Amr Mohamed', 'Sales Representative', '852 Red Sea St', 'Kafr el-Sheikh', 'North', '85274', 'Egypt', '+20-852-741-9630', '+20-852-741-9631', 'http://www.redseatradingco.com'),
(18, 10017, 'Upper Egypt Manufacturers', 'Sara Mahmoud', 'Director', '963 Upper St', 'Kafr el-Sheikh', 'South', '96321', 'Egypt', '+20-963-214-5780', '+20-963-214-5781', 'http://www.upper-egyptmanufacturers.com'),
(19, 10018, 'Memphis Enterprises', 'Salwa Hassan', 'Sales Manager', '741 Memphis St', 'Kafr el-Sheikh', 'East', '74185', 'Egypt', '+20-741-852-9630', '+20-741-852-9631', 'http://www.memphisenterprises.com'),
(20, 10019, 'Giza Trading Co.', 'Hesham Ali', 'CEO', '963 Giza St', 'Luxor', 'West', '96321', 'Egypt', '+20-963-214-5780', '+20-963-214-5781', 'http://www.gizatradingco.com'),
(21, 10020, 'Luxor Manufacturers', 'Fatima Mahmoud', 'Manager', '852 Luxor St', 'Luxor', 'North', '85296', 'Egypt', '+20-852-963-7410', '+20-852-963-7411', 'http://www.luxormanufacturers.com'),
(22, 10021, 'Aswan Enterprises', 'Mohamed Hassan', 'Sales Representative', '159 Aswan St', 'Aswan', 'South', '15987', 'Egypt', '+20-159-874-6320', '+20-159-874-6321', 'http://www.aswanenterprises.com'),
(23, 10022, 'Nile Trading Co.', 'Sara Mahmoud', 'Director', '357 Nile St', 'Aswan', 'East', '35741', 'Egypt', '+20-357-419-8620', '+20-357-419-8621', 'http://www.niletradingco.com'),
(24, 10023, 'Pyramid Suppliers', 'Ahmed Hassan', 'CEO', '258 Pyramid St', 'Aswan', 'West', '25896', 'Egypt', '+20-258-963-7410', '+20-258-963-7411', 'http://www.pyramidsuppliers.com'),
(25, 10024, 'Sphinx Manufacturers', 'Nadia Mahmoud', 'Manager', '753 Sphinx St', 'Aswan', 'North', '75314', 'Egypt', '+20-753-146-8920', '+20-753-146-8921', 'http://www.sphinxmanufacturers.com')
